ID GM,Câble,Origine,Destination
10493,SCS-PDG-02_C45/PT-2078/ASN-PZ-029/P01,SCS-PDG-02_C45/PT-2078,ASN-PZ-029
10494,SCS-PDU-01_C9/PT-2078/ASN-PZ-029/P01,SCS-PDU-01_C9/PT-2078,ASN-PZ-029
10495,SCS-PDU-01_C2/PT-0014N/PHASE A,SCS-PDU-01_C2/PT-0016NA,PT-0014N
10496,SCS-PDU-01_C4/PT-0014N/PHASE B,SCS-PDU-01_C4/PT-0016NA,PT-0014N
10497,SCS-PDU-01_C6/PT-0012NB/PHASE C,SCS-PDU-01_C6/PT-0016NA,PT-0012NB
10498,SCS-PDU-01_C2/PT-0014N/PT-0012NB/PHASE A,PT-0014N,PT-0012NB
10499,SCS-PDU-01_C4/PT-0014N/PT-0012NA/PHASE B,PT-0014N,PT-0012NA
10500,SCS-PDU-01_C6/PT-0012NB/PT-0009/PHASE C,PT-0012NB,PT-0009
10501,SCS-PDU-01_C2/PT-0012NB/PT-0012NA/PHASE A,PT-0012NB,PT-0012NA
10502,SCS-PDU-01_C4/PT-0012NA/PT-0009/PHASE B,PT-0012NA,PT-0009
10503,SCS-PDU-01_C6/PT-0009/PT-0008/PHASE C,PT-0009,PT-0008
10504,SCS-PDU-01_C/2PT-0012NA/PT-0008/PHASE A,PT-0012NA,PT-0008
10507,SCS-PDG-02_C37/PT-0014N/PHASE A,SCS-PDG-02_C37/PT-0016NA,PT-0014N
10508,SCS-PDG-02_C39/PT-0014N/PHASE B,SCS-PDG-02_C39/PT-0016NA,PT-0014N
10509,SCS-PDG-02_C41/PT-0012NB/PHASE C,SCS-PDG-02_C41/PT-0016NA,PT-0012NB
10510,SCS-PDG-02_C37/PT-0014N/PT-0012NB/PHASE A,PT-0014N,PT-0012NB
10511,SCS-PDG-02_C39/PT-0014N/PT-0012NA/PHASE B,PT-0014N,PT-0012NA
10512,SCS-PDG-02_C41/PT-0012NB/PT-0009/PHASE C,PT-0012NB,PT-0009
10513,SCS-PDG-02_C37/PT-0012NB/PT-0012NA/PHASE A,PT-0012NB,PT-0012NA
10514,SCS-PDG-02_C39/PT-0012NA/PT-0009/PHASE B,PT-0012NA,PT-0009
10515,SCS-PDG-02_C41/PT0009/PT-0008/PHASE C,PT-0009,PT-0008
10516,SCS-PDG-02_C37/PT-0008/PHASE A,PT-0012NA,PT-0008
